Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,39068979,40000412,40578842,41454761
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,694446100,713090928,731821393,750503764
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,474569351,485920997,497387180,509398589
Albania,ALB,"Population, total",SP.POP.TOTL,2837849,2811666,2777689,2745972
Algeria,DZA,"Population, total",SP.POP.TOTL,44042091,44761099,45477389,46164219
American Samoa,ASM,"Population, total",SP.POP.TOTL,49761,49225,48342,47521
Andorra,AND,"Population, total",SP.POP.TOTL,77380,78364,79705,80856
Angola,AGO,"Population, total",SP.POP.TOTL,33451132,34532429,35635029,36749906
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91846,92349,92840,93316
Arab World,ARB,"Population, total",SP.POP.TOTL,453723239,460646603,471352066,482105978
Argentina,ARG,"Population, total",SP.POP.TOTL,45191965,45312281,45407904,45538401
Armenia,ARM,"Population, total",SP.POP.TOTL,2961500,2962300,2969200,2964300
Aruba,ABW,"Population, total",SP.POP.TOTL,108587,107700,107310,107359
Australia,AUS,"Population, total",SP.POP.TOTL,25649248,25685412,26014399,26652777
Austria,AUT,"Population, total",SP.POP.TOTL,8916864,8955797,9041851,9131761
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121,10137750,10141756,10153958
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395863,396373,397538,399440
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472204,1504365,1524693,1577059
Bangladesh,BGD,"Population, total",SP.POP.TOTL,166298024,167658854,169384897,171466990
Barbados,BRB,"Population, total",SP.POP.TOTL,281698,282147,282318,282336
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952,9302585,9228071,9178298
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604,11586195,11680210,11787423
Belize,BLZ,"Population, total",SP.POP.TOTL,390812,395346,402733,411106
Benin,BEN,"Population, total",SP.POP.TOTL,13070169,13413417,13759501,14111034
Bermuda,BMU,"Population, total",SP.POP.TOTL,64382,64648,64749,64698
Bhutan,BTN,"Population, total",SP.POP.TOTL,770006,775442,780914,786385
Bolivia,BOL,"Population, total",SP.POP.TOTL,11816299,11937360,12077154,12244159
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3299349,3244907,3204802,3185073
Botswana,BWA,"Population, total",SP.POP.TOTL,2365894,2401441,2439892,2480244
Brazil,BRA,"Population, total",SP.POP.TOTL,208660842,209550294,210306415,211140729
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,37135,37809,38319,38985
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,447404,451721,455370,458949
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6550696,6507301,6465097,6446596
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21478690,21995243,22509038,23025776
Burundi,BDI,"Population, total",SP.POP.TOTL,12617036,12965481,13321097,13689450
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,514679,516649,519741,522331
Cambodia,KHM,"Population, total",SP.POP.TOTL,16725474,16974305,17201724,17423880
Cameroon,CMR,"Population, total",SP.POP.TOTL,26210558,26915758,27632771,28372687
Canada,CAN,"Population, total",SP.POP.TOTL,38028638,38239864,38935934,40083484
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4459302,4479167,4497310,4519904
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,68684,70108,71591,73038
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5026628,5112100,5098039,5152421
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,101215763,100205732,100071871,100175859
Chad,TCD,"Population, total",SP.POP.TOTL,17224679,17828273,18455316,19319064
Channel Islands,CHI,"Population, total",SP.POP.TOTL,166235,166741,167215,167691
Chile,CHL,"Population, total",SP.POP.TOTL,19370624,19456334,19553036,19658835
China,CHN,"Population, total",SP.POP.TOTL,1411100000,1412360000,1412175000,1410710000
Colombia,COL,"Population, total",SP.POP.TOTL,50629997,51188173,51737944,52321152
Comoros,COM,"Population, total",SP.POP.TOTL,802163,818174,834188,850387
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,95989998,99148932,102396968,105789731
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5752791,5892183,6035104,6182885
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5034320,5059988,5081765,5105525
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28915449,29639736,30395002,31165654
Croatia,HRV,"Population, total",SP.POP.TOTL,3914206,3878981,3855641,3859686
Cuba,CUB,"Population, total",SP.POP.TOTL,11176354,11122168,11059820,11019931
Curacao,CUW,"Population, total",SP.POP.TOTL,154947,152369,149996,155800
Cyprus,CYP,"Population, total",SP.POP.TOTL,1302247,1317309,1331370,1344976
Czechia,CZE,"Population, total",SP.POP.TOTL,10697858,10505772,10672118,10864042
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404,5856733,5903037,5946952
Djibouti,DJI,"Population, total",SP.POP.TOTL,1105188,1121248,1137096,1152944
Dominica,DMA,"Population, total",SP.POP.TOTL,67573,67202,66826,66510
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11008300,11123476,11230734,11331265
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3396051187,3432026092,3470644834,3511607650
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2369438682,2375144416,2379648196,2384479340
